instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
542,25-06-2012,fall,2012,june,0,monday,1,1,0.715833,0.654042,0.504167,0.300383,1139,5640,6779
286,13-10-2011,winter,2011,oct,0,thursday,1,2,0.589167,0.551804,0.896667,0.141787,290,2623,2913
136,16-05-2011,summer,2011,may,0,monday,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958
444,19-03-2012,spring,2012,mar,0,monday,1,1,0.545,0.532821,0.72875,0.162317,982,5171,6153
641,02-10-2012,winter,2012,oct,0,tuesday,1,3,0.590833,0.542333,0.871667,0.104475,315,4324,4639
313,09-11-2011,winter,2011,nov,0,wednesday,1,1,0.4,0.409079,0.758333,0.0621958,305,3804,4109
660,21-10-2012,winter,2012,oct,0,sunday,0,1,0.464167,0.456429,0.51,0.166054,2132,4692,6824
386,21-01-2012,spring,2012,Jan,0,saturday,0,2,0.173333,0.174875,0.83125,0.222642,67,1234,1301
518,01-06-2012,summer,2012,june,0,friday,1,2,0.654167,0.607962,0.755417,0.237563,533,3594,4127
299,26-10-2011,winter,2011,oct,0,wednesday,1,2,0.484167,0.472846,0.720417,0.148642,404,3490,3894
91,01-04-2011,summer,2011,april,0,friday,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227
249,06-09-2011,fall,2011,sep,0,tuesday,1,3,0.54,0.5152,0.886957,0.343943,204,2506,2710
594,16-08-2012,fall,2012,aug,0,thursday,1,1,0.719167,0.654688,0.519167,0.141796,1338,6267,7605
30,30-01-2011,spring,2011,Jan,0,sunday,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096
670,31-10-2012,winter,2012,oct,0,wednesday,1,2,0.3575,0.3611,0.666667,0.166667,419,5147,5566
256,13-09-2011,fall,2011,sep,0,tuesday,1,1,0.650833,0.603554,0.7125,0.141804,701,4062,4763
721,21-12-2012,spring,2012,dec,0,friday,1,2,0.326667,0.301767,0.556667,0.374383,221,3402,3623
564,17-07-2012,fall,2012,july,0,tuesday,1,1,0.818333,0.755683,0.505833,0.114429,921,5865,6786
334,30-11-2011,winter,2011,nov,0,wednesday,1,1,0.325,0.311221,0.613333,0.271158,188,3425,3613
312,08-11-2011,winter,2011,nov,0,tuesday,1,1,0.408333,0.412246,0.721667,0.0690375,376,3829,4205
701,01-12-2012,winter,2012,dec,0,saturday,0,2,0.298333,0.316904,0.806667,0.0597042,951,4240,5191
485,29-04-2012,summer,2012,april,0,sunday,0,1,0.458333,0.450121,0.587083,0.116908,2229,4075,6304
560,13-07-2012,fall,2012,july,0,friday,1,2,0.731667,0.667933,0.485833,0.08085,1511,5988,7499
364,30-12-2011,spring,2011,dec,0,friday,1,1,0.311667,0.318812,0.636667,0.134337,491,2508,2999
161,10-06-2011,summer,2011,june,0,friday,1,1,0.755,0.703292,0.605,0.140554,815,3771,4586
597,19-08-2012,fall,2012,aug,0,sunday,0,2,0.635833,0.603554,0.711667,0.08645,1208,3341,4549
559,12-07-2012,fall,2012,july,0,thursday,1,1,0.715833,0.654683,0.529583,0.146775,1032,6414,7446
698,28-11-2012,winter,2012,nov,0,wednesday,1,1,0.296667,0.289762,0.50625,0.210821,198,5062,5260
606,28-08-2012,fall,2012,aug,0,tuesday,1,1,0.728333,0.66605,0.62,0.190925,935,6105,7040
104,14-04-2011,summer,2011,april,0,thursday,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267
306,02-11-2011,winter,2011,nov,0,wednesday,1,1,0.3775,0.390133,0.71875,0.0820917,370,3816,4186
147,27-05-2011,summer,2011,may,0,friday,1,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679
397,01-02-2012,spring,2012,feb,0,wednesday,1,1,0.469167,0.466538,0.507917,0.189067,304,4275,4579
718,18-12-2012,winter,2012,dec,0,tuesday,1,1,0.410833,0.409708,0.66625,0.221404,433,5124,5557
526,09-06-2012,summer,2012,june,0,saturday,0,1,0.710833,0.648367,0.437083,0.144287,2708,4790,7498
166,15-06-2011,summer,2011,june,0,wednesday,1,1,0.626667,0.587754,0.471667,0.167912,769,4411,5180
465,09-04-2012,summer,2012,april,0,monday,1,1,0.489167,0.476638,0.3175,0.358196,905,4680,5585
81,22-03-2011,summer,2011,mar,0,tuesday,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703
446,21-03-2012,summer,2012,mar,0,wednesday,1,2,0.531667,0.513258,0.82125,0.0895583,1122,5108,6230
10,10-01-2011,spring,2011,Jan,0,monday,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321
707,07-12-2012,winter,2012,dec,0,friday,1,2,0.320833,0.321958,0.764167,0.1306,349,4659,5008
321,17-11-2011,winter,2011,nov,0,thursday,1,2,0.341667,0.323221,0.575833,0.305362,139,2914,3053
575,28-07-2012,fall,2012,july,0,saturday,0,1,0.755833,0.697604,0.613333,0.15735,2234,4451,6685
180,29-06-2011,fall,2011,june,0,wednesday,1,1,0.728333,0.654688,0.497917,0.261821,848,4377,5225
530,13-06-2012,summer,2012,june,0,wednesday,1,1,0.655833,0.611117,0.582083,0.343279,1173,6248,7421
640,01-10-2012,winter,2012,oct,0,monday,1,2,0.520833,0.512,0.649167,0.0908042,763,6015,6778
583,05-08-2012,fall,2012,aug,0,sunday,0,1,0.769167,0.731079,0.6525,0.290421,1707,3757,5464
6,06-01-2011,spring,2011,Jan,0,thursday,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
198,17-07-2011,fall,2011,july,0,sunday,0,1,0.719167,0.669833,0.604167,0.245033,2006,3296,5302
574,27-07-2012,fall,2012,july,0,friday,1,1,0.781667,0.734217,0.594583,0.152992,1259,5645,6904
460,04-04-2012,summer,2012,april,0,wednesday,1,1,0.541667,0.53345,0.469583,0.180975,1058,5378,6436
262,19-09-2011,fall,2011,sep,0,monday,1,2,0.549167,0.529675,0.69,0.151742,691,3848,4539
305,01-11-2011,winter,2011,nov,0,tuesday,1,1,0.400833,0.397088,0.68375,0.135571,410,3658,4068
591,13-08-2012,fall,2012,aug,0,monday,1,1,0.720833,0.662254,0.545417,0.136212,1207,5676,6883
426,01-03-2012,spring,2012,mar,0,thursday,1,1,0.485833,0.475371,0.615417,0.226987,325,4665,4990
39,08-02-2011,spring,2011,feb,0,tuesday,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530
626,17-09-2012,fall,2012,sep,0,monday,1,2,0.580833,0.55305,0.734583,0.151742,1022,5847,6869
308,04-11-2011,winter,2011,nov,0,friday,1,2,0.403333,0.403392,0.6225,0.271779,470,3576,4046
598,20-08-2012,fall,2012,aug,0,monday,1,2,0.635833,0.595967,0.734167,0.129979,1026,5504,6530
163,12-06-2011,summer,2011,june,0,sunday,0,1,0.6925,0.643325,0.747917,0.163567,1467,2993,4460
68,09-03-2011,spring,2011,mar,0,wednesday,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891
125,05-05-2011,summer,2011,may,0,thursday,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433
40,09-02-2011,spring,2011,feb,0,wednesday,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605
5,05-01-2011,spring,2011,Jan,0,wednesday,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600
34,03-02-2011,spring,2011,feb,0,thursday,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550
480,24-04-2012,summer,2012,april,0,tuesday,1,1,0.413333,0.405283,0.454167,0.249383,518,5115,5633
281,08-10-2011,winter,2011,oct,0,saturday,0,1,0.521667,0.513242,0.70125,0.0454042,2235,3174,5409
100,10-04-2011,summer,2011,april,0,sunday,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895
534,17-06-2012,summer,2012,june,0,sunday,0,1,0.5925,0.571975,0.59875,0.144904,2634,4344,6978
551,04-07-2012,fall,2012,july,1,wednesday,0,1,0.789167,0.732337,0.53875,0.13495,2562,4841,7403
237,25-08-2011,fall,2011,aug,0,thursday,1,2,0.684167,0.645854,0.771667,0.210833,435,3107,3542
400,04-02-2012,spring,2012,feb,0,saturday,0,2,0.264167,0.272725,0.779583,0.121896,384,2448,2832
389,24-01-2012,spring,2012,Jan,0,tuesday,1,1,0.3425,0.349108,0.835833,0.123767,439,3900,4339
655,16-10-2012,winter,2012,oct,0,tuesday,1,1,0.468333,0.460846,0.558333,0.182221,922,6612,7534
512,26-05-2012,summer,2012,may,0,saturday,0,1,0.6925,0.642696,0.7325,0.198992,2855,3681,6536
372,07-01-2012,spring,2012,Jan,0,saturday,0,1,0.393333,0.390779,0.531667,0.174758,1070,3451,4521
454,29-03-2012,summer,2012,mar,0,thursday,1,1,0.494167,0.482304,0.439167,0.31965,834,5299,6133
187,06-07-2011,fall,2011,july,0,wednesday,1,1,0.72,0.685633,0.743333,0.149883,784,3845,4629
456,31-03-2012,summer,2012,mar,0,saturday,0,2,0.424167,0.421708,0.738333,0.250617,2301,3934,6235
661,22-10-2012,winter,2012,oct,0,monday,1,1,0.4875,0.482942,0.568333,0.0814833,830,6228,7058
261,18-09-2011,fall,2011,sep,0,sunday,0,1,0.5075,0.490537,0.695,0.178483,1353,2921,4274
484,28-04-2012,summer,2012,april,0,saturday,0,2,0.376667,0.377504,0.489583,0.129975,1120,3100,4220
708,08-12-2012,winter,2012,dec,0,saturday,0,2,0.381667,0.389508,0.91125,0.101379,1153,4429,5582
492,06-05-2012,summer,2012,may,0,sunday,0,2,0.5625,0.546737,0.74,0.149879,2135,4224,6359
201,20-07-2011,fall,2011,july,0,wednesday,1,1,0.768333,0.74685,0.707083,0.113817,644,3688,4332
697,27-11-2012,winter,2012,nov,0,tuesday,1,2,0.291667,0.281558,0.786667,0.237562,123,3836,3959
79,20-03-2011,spring,2011,mar,0,sunday,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471
631,22-09-2012,fall,2012,sep,0,saturday,0,1,0.65,0.610488,0.646667,0.283583,2512,5883,8395
43,12-02-2011,spring,2011,feb,0,saturday,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472
134,14-05-2011,summer,2011,may,0,saturday,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409
373,08-01-2012,spring,2012,Jan,0,sunday,0,1,0.3375,0.340258,0.465,0.191542,599,2826,3425
659,20-10-2012,winter,2012,oct,0,saturday,0,1,0.484167,0.472842,0.572917,0.117537,2806,5284,8090
251,08-09-2011,fall,2011,sep,0,thursday,1,3,0.633913,0.555361,0.939565,0.192748,153,1689,1842
639,30-09-2012,winter,2012,sep,0,sunday,0,1,0.526667,0.517663,0.583333,0.134958,2015,4874,6889
416,20-02-2012,spring,2012,feb,1,monday,0,1,0.28,0.273391,0.507826,0.229083,502,2627,3129
324,20-11-2011,winter,2011,nov,0,sunday,0,2,0.463333,0.457058,0.684583,0.18595,787,2733,3520
193,12-07-2011,fall,2011,july,0,tuesday,1,1,0.794167,0.739275,0.559167,0.200254,662,3596,4258
489,03-05-2012,summer,2012,may,0,thursday,1,2,0.56,0.537242,0.768333,0.133696,764,5657,6421
688,18-11-2012,winter,2012,nov,0,sunday,0,1,0.3425,0.337746,0.692917,0.227612,922,3747,4669
487,01-05-2012,summer,2012,may,0,tuesday,1,2,0.613333,0.577021,0.659583,0.156096,653,5087,5740
547,30-06-2012,fall,2012,june,0,saturday,0,1,0.765,0.687508,0.60125,0.161071,1455,4232,5687
449,24-03-2012,summer,2012,mar,0,saturday,0,2,0.5025,0.486733,0.885417,0.192783,1033,2339,3372
482,26-04-2012,summer,2012,april,0,thursday,1,2,0.498333,0.483583,0.756667,0.176625,475,4551,5026
158,07-06-2011,summer,2011,june,0,tuesday,1,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833
523,06-06-2012,summer,2012,june,0,wednesday,1,1,0.554167,0.542292,0.61125,0.077125,1027,6028,7055
610,01-09-2012,fall,2012,sep,0,saturday,0,2,0.753333,0.702654,0.638333,0.113187,2352,3788,6140
703,03-12-2012,winter,2012,dec,0,monday,1,1,0.4525,0.455796,0.7675,0.0827208,555,5679,6234
453,28-03-2012,summer,2012,mar,0,wednesday,1,1,0.484167,0.47095,0.48125,0.291671,674,5024,5698
307,03-11-2011,winter,2011,nov,0,thursday,1,1,0.408333,0.405921,0.702083,0.136817,318,3656,3974
629,20-09-2012,fall,2012,sep,0,thursday,1,1,0.546667,0.532192,0.618333,0.118167,939,6781,7720
103,13-04-2011,summer,2011,april,0,wednesday,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162
53,22-02-2011,spring,2011,feb,0,tuesday,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450
511,25-05-2012,summer,2012,may,0,friday,1,1,0.68,0.627529,0.747083,0.14055,1417,5317,6734
375,10-01-2012,spring,2012,Jan,0,tuesday,1,1,0.308696,0.318826,0.646522,0.187552,173,3425,3598
379,14-01-2012,spring,2012,Jan,0,saturday,0,1,0.18,0.183087,0.4575,0.187183,333,2160,2493
98,08-04-2011,summer,2011,april,0,friday,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471
578,31-07-2012,fall,2012,july,0,tuesday,1,1,0.713333,0.662896,0.704167,0.165425,968,6248,7216
129,09-05-2011,summer,2011,may,0,monday,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362
178,27-06-2011,fall,2011,june,0,monday,1,2,0.6825,0.637004,0.658333,0.107588,854,3854,4708
111,21-04-2011,summer,2011,april,0,thursday,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189
545,28-06-2012,fall,2012,june,0,thursday,1,1,0.749167,0.675512,0.4225,0.17165,921,5958,6879
481,25-04-2012,summer,2012,april,0,wednesday,1,1,0.476667,0.470317,0.427917,0.118792,655,5541,6196
355,21-12-2011,spring,2011,dec,0,wednesday,1,2,0.428333,0.428017,0.858333,0.2214,107,2553,2660
527,10-06-2012,summer,2012,june,0,sunday,0,1,0.726667,0.663517,0.538333,0.133721,2224,4374,6598
143,23-05-2011,summer,2011,may,0,monday,1,2,0.631667,0.590296,0.81,0.233842,836,3438,4274
638,29-09-2012,winter,2012,sep,0,saturday,0,1,0.5425,0.530296,0.542917,0.227604,2589,5966,8555
7,07-01-2011,spring,2011,Jan,0,friday,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510
268,25-09-2011,winter,2011,sep,0,sunday,0,2,0.634167,0.572637,0.845,0.0503792,1544,3466,5010
603,25-08-2012,fall,2012,aug,0,saturday,0,2,0.661667,0.618696,0.712917,0.244408,1829,4224,6053
238,26-08-2011,fall,2011,aug,0,friday,1,1,0.7,0.659733,0.76125,0.0839625,768,3893,4661
458,02-04-2012,summer,2012,april,0,monday,1,1,0.433913,0.427513,0.504348,0.312139,1208,4728,5936
59,28-02-2011,spring,2011,feb,0,monday,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446
233,21-08-2011,fall,2011,aug,0,sunday,0,1,0.710833,0.675525,0.77,0.248754,1249,2624,3873
713,13-12-2012,winter,2012,dec,0,thursday,1,1,0.295833,0.294188,0.485833,0.174129,425,5107,5532
600,22-08-2012,fall,2012,aug,0,wednesday,1,1,0.6675,0.621854,0.677083,0.0702833,1094,6281,7375
204,23-07-2011,fall,2011,july,0,saturday,0,1,0.849167,0.804287,0.5,0.131221,987,2298,3285
684,14-11-2012,winter,2012,nov,0,wednesday,1,1,0.289167,0.281563,0.552083,0.199625,373,5122,5495
285,12-10-2011,winter,2011,oct,0,wednesday,1,3,0.543333,0.517717,0.90625,0.24815,217,2199,2416
420,24-02-2012,spring,2012,feb,0,friday,1,2,0.4075,0.410971,0.7375,0.237567,246,3241,3487
3,03-01-2011,spring,2011,Jan,0,monday,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349
717,17-12-2012,winter,2012,dec,0,monday,1,2,0.393333,0.4015,0.907083,0.0982583,212,4373,4585
390,25-01-2012,spring,2012,Jan,0,wednesday,1,1,0.294167,0.294821,0.64375,0.161071,467,3803,4270
218,06-08-2011,fall,2011,aug,0,saturday,0,2,0.716667,0.676154,0.755,0.22825,1521,2773,4294
361,27-12-2011,spring,2011,dec,0,tuesday,1,2,0.325,0.327633,0.7625,0.18845,103,1059,1162
47,16-02-2011,spring,2011,feb,0,wednesday,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115
702,02-12-2012,winter,2012,dec,0,sunday,0,2,0.3475,0.359208,0.823333,0.124379,892,3757,4649
226,14-08-2011,fall,2011,aug,0,sunday,0,2,0.676667,0.624388,0.8175,0.222633,1338,2482,3820
19,19-01-2011,spring,2011,Jan,0,wednesday,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650
169,18-06-2011,summer,2011,june,0,saturday,0,1,0.696667,0.643954,0.670417,0.119408,1807,3312,5119
229,17-08-2011,fall,2011,aug,0,wednesday,1,1,0.723333,0.666671,0.575417,0.143667,668,4026,4694
293,20-10-2011,winter,2011,oct,0,thursday,1,1,0.475833,0.466525,0.63625,0.422275,471,3724,4195
228,16-08-2011,fall,2011,aug,0,tuesday,1,1,0.700833,0.645837,0.578333,0.236329,721,4004,4725
611,02-09-2012,fall,2012,sep,0,sunday,0,2,0.696667,0.649,0.815,0.0640708,2613,3197,5810
550,03-07-2012,fall,2012,july,0,tuesday,1,1,0.780833,0.70265,0.492083,0.126237,1052,5608,6660
329,25-11-2011,winter,2011,nov,0,friday,1,1,0.375,0.380671,0.64375,0.0988958,1095,1697,2792
284,11-10-2011,winter,2011,oct,0,tuesday,1,2,0.566667,0.546096,0.80875,0.143042,667,3896,4563
679,09-11-2012,winter,2012,nov,0,friday,1,1,0.361667,0.355413,0.540833,0.214558,709,5283,5992
711,11-12-2012,winter,2012,dec,0,tuesday,1,2,0.353333,0.338363,0.596667,0.296037,282,5219,5501
557,10-07-2012,fall,2012,july,0,tuesday,1,2,0.720833,0.664796,0.6675,0.151737,954,5336,6290
483,27-04-2012,summer,2012,april,0,friday,1,1,0.4575,0.452637,0.400833,0.347633,1014,5219,6233
94,04-04-2011,summer,2011,april,0,monday,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115
214,02-08-2011,fall,2011,aug,0,tuesday,1,1,0.783333,0.707071,0.49125,0.20585,801,4044,4845
259,16-09-2011,fall,2011,sep,0,friday,1,2,0.469167,0.461475,0.590417,0.164183,742,4018,4760
338,04-12-2011,winter,2011,dec,0,sunday,0,1,0.330833,0.3491,0.775833,0.0839583,634,2851,3485
292,19-10-2011,winter,2011,oct,0,wednesday,1,3,0.541739,0.513848,0.895217,0.243339,254,2170,2424
616,07-09-2012,fall,2012,sep,0,friday,1,1,0.703333,0.657204,0.73625,0.171646,1045,6459,7504
107,17-04-2011,summer,2011,april,0,sunday,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744
116,26-04-2011,summer,2011,april,0,tuesday,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400
159,08-06-2011,summer,2011,june,0,wednesday,1,1,0.775833,0.727279,0.622083,0.136817,676,3725,4401
726,26-12-2012,spring,2012,dec,0,wednesday,1,3,0.243333,0.220333,0.823333,0.316546,9,432,441
592,14-08-2012,fall,2012,aug,0,tuesday,1,1,0.726667,0.676779,0.686667,0.169158,1128,5656,6784
37,06-02-2011,spring,2011,feb,0,sunday,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623
497,11-05-2012,summer,2012,may,0,friday,1,1,0.533333,0.520833,0.360417,0.236937,1319,5711,7030
363,29-12-2011,spring,2011,dec,0,thursday,1,1,0.248333,0.263892,0.574167,0.119412,254,2169,2423
429,04-03-2012,spring,2012,mar,0,sunday,0,1,0.325833,0.303021,0.403333,0.334571,710,2713,3423
205,24-07-2011,fall,2011,july,0,sunday,0,1,0.83,0.794829,0.550833,0.169171,1050,2556,3606
